due_date,order_number,width,length,demand,quantity,type
2024-01-02,12181158980,6664.0,7815.5,2800,2940,Y
2024-01-02,12181158984,6664.0,7815.5,1000,1100,Y
2024-01-02,12181158978,5512.5,14430.5,5000,5250,Y
2024-01-02,12181158979,5512.5,14430.5,3720,3900,Y
2024-01-02,12181158983,5512.5,14430.5,1830,2010,Y
2024-01-02,12181158985,5512.5,14430.5,1840,2020,Y
2024-01-02,12181158975,7693.0,15018.5,2600,2730,Y
2024-01-02,12181158976,7693.0,15018.5,2600,2730,Y
2024-01-02,12181158977,7693.0,15018.5,870,950,Y
2024-01-02,12181159113,8011.5,9604.0,800,880,Y
2024-01-02,12181159205,5586.0,7448.0,4000,4200,Y
2024-01-02,12181159199,6370.0,21560.0,15000,15300,N
2024-01-02,12181158645,13842.5,31139.5,2380,2490,X
2024-01-02,12181157826,17150.0,29400.0,2500,2620,Y
2024-01-02,12181159108,4287.5,0.0,1200,1320,Y
2024-01-02,12181159096,4606.0,7595.0,800,880,Y
2024-01-02,12181159098,5267.5,0.0,840,920,Y
2024-01-02,12181159100,5267.5,0.0,770,840,Y
2024-01-02,12181159101,5267.5,0.0,880,960,Y
2024-01-02,12181159103,3062.5,34300.0,400,440,Y
2024-01-02,12181159096,4385.5,0.0,800,880,Y
2024-01-02,12181159106,5267.5,32340.0,1200,1320,Y
2024-01-02,12181158980,14651.0,32242.0,1400,1540,N
2024-01-02,12181156993,17150.0,29400.0,3000,3150,Y
2024-01-02,12181159091,0.0,0.0,1000,1100,Y
2024-01-02,12181158978,12005.0,31115.0,5000,5250,N
2024-01-02,12181158979,12005.0,31115.0,3720,3900,N
2024-01-02,12181158983,12005.0,31115.0,1830,2010,N
2024-01-02,12181158985,12005.0,31115.0,1840,2020,N
2024-01-02,12181158984,14749.0,32389.0,500,550,N
2024-01-02,12181158975,14210.0,32389.0,2600,2730,N
2024-01-02,12181158976,14210.0,32389.0,2600,2730,N
2024-01-02,12181158977,14210.0,32389.0,870,950,N
2024-01-02,12181159116,4312.0,31948.0,800,880,Y
