กำหนดส่ง,แผ่นหน้า,"ลอน C",แผ่นกลาง,"ลอน B",แผ่นหลัง,จน.ชั้น,กว้างผลิต,ยาวผลิต,ทับเส้นซ้าย,ทับเส้นกลาง,ทับเส้นขวา,เลขที่ใบสั่งขาย,ชนิดส่วนประกอบ,จำนวนสั่งขาย,จำนวนสั่งผลิต,ประเภททับเส้น,สถานะใบสั่ง,"% ที่เกิน"
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,430,1480,122,186,122,12181159257,A,2800,2940,N,Y,5
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,430,1480,122,186,122,12181159272,A,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159256,A,2000,2200,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159267,A,10800,11010,N,Y,2
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159268,A,6400,6720,N,Y,5
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,455,1520,125,205,125,12181159270,A,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,513,1350,122,269,122,12181159243,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159259,E,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159260,E,400,440,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159277,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,523,1510,129,265,129,12181159278,E,1200,1320,N,Y,10
2024/01/02,KS161,CM127,CM127,CM127,KB160,5,543,1220,139,265,139,12181159283,E,400,440,N,Y,10
2024/01/02,KS161,CM147,,,KB160,3,457,1334,122,213,122,12181159117,E,800,880,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,458,1520,122,214,122,12181159265,E,1600,1760,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,523,1380,122,279,122,12181159254,E,400,440,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,530,1380,125,280,125,12181159261,A,2400,2520,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,530,1380,125,280,125,12181159264,A,23600,24070,N,Y,2
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,578,1380,122,334,122,12181159262,E,1600,1760,N,Y,10
2024/01/02,KS161,CM147,CM147,CM147,KB160,5,585,1380,125,335,125,12181159269,A,6000,6300,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,568,1450,137,294,137,12181159286,E,5600,5880,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,568,1450,137,294,137,12181159287,E,7200,7560,N,Y,5
2024/01/02,KS161,CM147,CM147,CM147,KB230,5,638,1390,131,376,131,12181159285,E,2000,2200,N,Y,10
2024/01/02,KS231,CM112,CM112,CM112,KB160,5,478,1300,120,238,120,12181158643,A,2570,2690,N,Y,5
2024/01/02,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157868,A,820,900,N,Y,10
2024/01/02,KS231,CM127,,,KB230,3,515,1337,131,253,131,12181157874,A,820,900,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,395,910,80,235,80,12181158075,A,1650,1810,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159098,E,840,920,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159100,E,770,840,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,403,952,86,231,86,12181159101,E,880,960,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,440,1190,100,240,100,12181158032,A,2590,2720,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,470,1260,112,246,112,12181158102,A,880,960,X,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,498,1350,122,254,122,12181159246,E,2400,2520,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,528,1150,99,330,99,12181159244,E,400,440,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,528,1150,99,330,99,12181158621,E,800,880,X,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,535,1130,125,285,125,12181159252,A,16400,16720,N,Y,2
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,535,1130,125,285,125,12181159253,A,15200,15500,N,Y,2
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,615,1550,140,335,140,12181159239,A,7200,7560,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB160,5,615,1550,140,335,140,12181159240,A,5200,5460,N,Y,5
2024/01/02,KS231,CM127,CM127,CM127,KB230,5,398,1160,117,164,117,12181159091,A,1000,1100,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB230,5,518,1580,162,194,162,12181159108,E,1200,1320,N,Y,10
2024/01/02,KS231,CM127,CM127,CM127,KB230,5,578,1250,132,314,132,12181159280,E,4000,4200,N,Y,5
2024/01/02,KS231,CM147,,,KB230,3,450,1348,133,184,133,12181159116,E,800,880,N,Y,10
2024/01/02,KS231,CM147,CM127,CM127,KB230,5,477,1328,128,221,128,12181155655,A,1040,1140,N,A,10
2024/01/02,KS231,CM147,CM147,CM147,KB160,5,523,1110,119,285,119,12181159249,E,6800,7140,N,Y,5
2024/01/02,KS231,CM147,CM147,CM147,KB230,5,450,1130,117,216,117,12181158659,A,6980,7320,N,Y,5
2024/01/02,KS231,CM147,CM147,CM147,KB230,5,500,1540,172,156,172,12181159113,A,400,440,N,A,10
2024/01/02,KS231,CM147,CM147,CM147,KB230,5,618,1460,132,354,132,12181159266,E,800,880,N,A,10
2024/01/02,KS231,CM197,,,KB230,3,349,1030,91,167,91,12181158054,A,1880,2060,W,Y,10
2024/01/02,KS231,CM197,,,KB230,3,387,1080,100,187,100,12181159096,A,800,880,N,Y,10
2024/01/02,KS231,CM197,,,KB230,3,488,1000,104,280,104,12181158095,A,1240,1360,X,Y,10
2024/01/02,KS231,CM197,,,KB230,3,765,1500,173,419,173,12181159291,A,2000,2200,N,Y,10
2024/01/02,KS231,CM197,,,KB230,3,765,1500,173,419,173,12181159292,A,1500,1650,N,Y,10
2024/01/02,KS231,CM197,CM197,CM197,KB160,5,460,1200,135,190,135,12181158655,A,2840,2980,N,A,5
2024/01/03,CM127,CM127,CM127,CM127,CM127,5,0,0,0,0,0,12181159131,W,17280,17620,Y,A,2
2024/01/03,CM127,CM127,CM127,CM127,CM127,5,0,0,0,0,0,12181159132,W,17280,17620,Y,A,2
2024/01/03,CM127,CM127,CM127,CM127,CM127,5,317,392,317,0,0,12181159226,R,4800,5040,Y,A,5
2024/01/03,CM127,CM127,CM127,CM127,CM127,5,327,392,327,0,0,12181159213,R,4800,5040,Y,A,5
2024/01/03,CM97,CM127,,,CM97,3,255,0,255,0,0,12181159189,U,600,660,N,Y,10
2024/01/03,KAC125,,,CM127,KB120,3,841,1450,841,0,0,12181159193,G,1875,2060,Y,Y,10
2024/01/03,KAC125,CM112,,,KB120,3,663,1197,663,0,0,12181159188,G,8333,8750,Y,Y,5
2024/01/03,KB120,,,CM127,KB120,3,711,1099,711,0,0,12181157827,S,1500,1650,Y,Y,10
2024/01/03,KB120,,,CME100,CME100,3,721,1200,721,0,0,12181159196,G,2250,2360,Y,Y,5
2024/01/03,KB120,,,CME100,CME100,3,841,1450,841,0,0,12181159197,G,750,820,Y,A,10
2024/01/03,KB160,,,CM127,KB120,3,565,1271,130,305,130,12181158644,A,2820,2960,X,Y,5
2024/01/03,KB160,CM127,,,CM97,3,176,0,176,0,0,12181158313,U,940,1030,Y,A,10
2024/01/03,KB160,CM127,,,CM97,3,176,0,176,0,0,12181158336,U,880,960,Y,A,10
2024/01/03,KB160,CM127,,,KB160,3,0,0,0,0,0,12181158350,W,1750,1920,Y,A,10
2024/01/03,KB160,CM127,,,KB160,3,145,0,145,0,0,12181158326,U,10890,11100,Y,A,2
2024/01/03,KB160,CM127,,,KB160,3,145,0,145,0,0,12181158348,U,3570,3740,Y,A,5
2024/01/03,KB160,CM127,,,KB160,3,175,0,175,0,0,12181158352,U,1410,1550,Y,A,10
2024/01/03,KB160,CM127,,,KB160,3,203,385,203,0,0,12181157862,R,760,830,Y,A,10
2024/01/03,KB160,CM127,,,KB160,3,215,0,215,0,0,12181158343,U,5830,6120,Y,A,5
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,125,1390,125,0,0,12181159228,V,3200,3360,Y,A,5
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,125,1400,125,0,0,12181158286,V,3200,3360,Y,A,5
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,125,1400,125,0,0,12181159227,V,4000,4200,Y,A,5
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,215,1320,215,0,0,12181159221,V,400,440,Y,A,10
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,220,1460,220,0,0,12181158633,V,800,880,Y,A,10
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,270,0,270,0,0,12181158273,U,12400,12640,Y,A,2
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,421,1464,126,169,126,12181159251,A,1550,1700,N,Y,10
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,553,1376,129,295,129,12181159238,A,5000,5250,N,Y,5
2024/01/03,KB160,CM127,CM127,CM127,KB160,5,553,1376,129,295,129,12181159255,A,1480,1620,N,Y,10
2024/01/03,KB230,CM127,CM127,CM127,KB230,5,540,1450,135,270,135,12181159190,A,3300,3460,N,Y,5
2024/01/03,KB230,CM127,CM127,CM127,KB230,5,611,1474,128,355,128,12181159192,A,3800,3990,N,Y,5
2024/01/03,KB230,CM147,,,CM147,3,176,1304,176,0,0,12181158312,V,2400,2520,Y,A,5
2024/01/03,KB230,CM147,,,CM147,3,205,1248,205,0,0,12181158265,V,2400,2520,Y,A,5
2024/01/03,KB230,CM147,,,CM147,3,205,1248,205,0,0,12181158266,V,2400,2520,Y,A,5
2024/01/03,KB230,CM147,,,CM147,3,230,1304,230,0,0,12181158270,V,2400,2520,Y,A,5
2024/01/03,KB230,CM147,CM147,CM147,KB230,5,405,1120,110,185,110,12181158654,A,6910,7250,N,A,5
2024/01/03,KI188,CM147,,,CM197,3,408,1465,138,132,138,12181159131,A,17280,17620,N,Y,2
2024/01/03,KI188,CM147,,,CM197,3,408,1465,138,132,138,12181159132,A,17280,17620,N,Y,2
2024/01/03,KS121,CM127,,,KB120,3,315,874,61,193,61,12181158648,A,1340,1470,N,Y,10
2024/01/03,KS121,CM127,,,KB120,3,387,1453,127,133,127,12181159228,E,3200,3360,W,Y,5
2024/01/03,KS121,CM127,,,KB120,3,392,1463,130,132,130,12181159227,E,4000,4200,W,A,5
2024/01/03,KS121,CM127,,,KB120,3,393,1463,130,133,130,12181158286,E,3200,3360,W,Y,5
2024/01/03,KS121,CM127,,,KB120,3,493,1383,135,223,135,12181159221,E,400,440,W,Y,10
2024/01/03,KS121,CM127,CM127,CM127,KB120,5,458,1190,94,270,94,12181158255,E,1600,1760,N,Y,10
2024/01/03,KS121,CM127,CM127,CM127,KB120,5,458,1190,94,270,94,12181158295,E,1200,1320,N,A,10
2024/01/03,KS161,CM112,,,KB160,3,501,1274,108,285,108,12181158656,A,1040,1140,N,Y,10
2024/01/03,KS161,CM112,CM112,CM112,KB120,5,594,1380,141,312,141,12181155656,A,1560,1710,N,Y,10
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,405,1346,126,153,126,12181158296,E,7200,7560,N,Y,5
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,418,1190,107,204,107,12181158282,E,2400,2520,N,Y,5
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,423,1480,119,185,119,12181158632,E,2800,2940,N,Y,5
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,438,1370,127,184,127,12181158264,E,1600,1760,N,Y,10
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,463,1550,129,205,129,12181159288,E,16000,16320,N,Y,2
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,508,1244,122,264,122,12181158267,E,7200,7560,N,Y,5
2024/01/03,KS161,CM127,CM127,CM127,KB160,5,543,1220,139,265,139,12181158635,E,1600,1760,N,Y,10
2024/01/03,KS161,CM147,,,KB160,3,458,1334,123,212,123,12181158265,E,2400,2520,N,Y,5
2024/01/03,KS161,CM147,,,KB160,3,458,1334,123,212,123,12181158266,E,2400,2520,X,Y,5
2024/01/03,KS161,CM147,,,KB230,3,406,1468,120,166,120,12181158252,E,4120,4320,W,Y,5
